,dataset,max_time
0,117,3.85833333333
1,196_8,4.61666666667
2,21,16.2666666667
3,28,22.6666666667
4,45,5.56666666667
5,4_6,11.45
6,Bloom_2013_fishes,20.6833333333
7,Brown_2012,5.85833333333
8,Cibois_2013_birds,21.9333333333
9,Cognato_2001,3.925
10,Condamine_2012_butterflies,6.06666666667
11,Daniels_2015_crabs,37.5833333333
12,Day_2013,39.45
13,DORNBURG_2012,21.275
14,Ekrem_2010,13.9583333333
15,Fishbein_2001,13.9
16,Garcia-Sandoval_2011_fungus,154.9
17,Grande_2013,39.9083333333
18,Hyde_2007_rockfishes,43.0083333333
19,Kaffenberger_2011,39.7833333333
20,Kang_2013a,3.15
21,Korall_2006_tree_ferns,13.925
22,Lane_2006_kelp,8.0
23,Leache_2009_lizards_nuclear,18.225
24,Li_2008,25.7083333333
25,Magallon_2010_angiosperms,62.95
26,Martinkova_2012_rodents,30.825
27,Matheny_2009_fungus,23.3333333333
28,Murienne_2010_arachnids,3.625
29,Price_2014_ants,30.5083333333
30,RIGHTMYER_2013,90.9416666667
31,Ronquist_2012_hymenoptera,33.975
32,Rota_2011_moths,8.03333333333
33,Ryberg_2011_fungus,101.891666667
34,S10012,36.275
35,S10163,5.55
36,S10620,27.05
37,S1070,6.425
38,S1115,37.225
39,S11291,28.3333333333
40,S1137,45.5333333333
41,S11410,16.25
42,S11849,9.1
43,S12213,13.075
44,S12836,3.05833333333
45,S1349,9.75
46,S13927,3.81666666667
47,S1572,19.9333333333
48,S1802,22.4583333333
49,S1987,45.175
50,S2061,36.7583333333
51,SEAGO_2011,38.8333333333
52,Voss_2008_marsupials,19.9666666667
